,product_name,product_id,parent_category,Image_Front,frame_shape
0,Vintage Persona C4,7641,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/vintage-persona-c4-52-15-135_1_.jpg,Rectangle
1,Vintage Crazy-X C2 Red,7643,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/vintage-crazy-x-c2-51-15-130_3__1.jpg,Rectangle
2,Jialedi Eyewear 1086 C8 Blue,8254,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0001_6.JPG,Rectangle
3,Jialedi Eyewear 1086 C6 Red,8255,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0010_4.JPG,Rectangle
4,Jialedi Eyewear 1086 C4 Tortoise Transperent,8256,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0017_3.JPG,Rectangle
5,Jialedi Eyewear 1086 C5 Magenta Transperent,8257,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0025_4.JPG,Rectangle
6,Jialedi Eyewear 1086 C1 Black,8258,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0033_4.JPG,Rectangle
7,Jialedi Eyewear 1086 C3 Light Brown Transperent,8259,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0041_4.JPG,Rectangle
8,Jialedi Eyewear 1086 C10 Black Transperent,8260,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0049_4.JPG,Rectangle
9,Jialedi Eyewear 1086 C2 Black,8261,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0081_3.JPG,Rectangle
10,Fiezai DU Eyewearl 0120  Tortoise,8262,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0145_3.JPG,Wayfarer
11,Fiezai DU Eyewear 0120  White,8263,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0169_3.JPG,Wayfarer
12,Fiezai DU Eyewear 0120  Red,8264,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0185_4.JPG,Wayfarer
13,Fiezai DU Eyewear 0120  Blue - Black,8265,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0193_4.JPG,Wayfarer
14,Fiezai DU Eyewear 0120  Black,8266,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0201_3.JPG,Wayfarer
15,Fiezai DU Eyewear 0120  Matte Black,8267,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0233_3.JPG,Wayfarer
16,Fiezai DU Eyewear 0120  Brown,8268,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0273_3.JPG,Wayfarer
17,LK Live Eyewear JC8002 TR100 Black,8269,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0305_3.JPG,Rectangle
18,LK Live Eyewear JC8028 TR100 Black,8270,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0313_3.JPG,Rectangle
19,LK Live Eyewear JC8002 TR90 Red,8271,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0321_4.JPG,Rectangle
20,LK Live Eyewear JC8028 TR100 White,8272,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0329_3.JPG,Rectangle
21,LK Live Eyewear C03  Brown,8273,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0337_3.JPG,Rectangle
22,LK Live Eyewear C03 Oval Brown,8274,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0345_3.JPG,Oval
23,LK BAN Eyewear Black,8275,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0353_3.JPG,Rectangle
24,LK Live Eyewear C01 BLK Black,8276,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0361_4.JPG,Rectangle
25,LK Jialedi Eyewear 1086 C8 Black,8277,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0386_3.JPG,Rectangle
26,LK Titan DUium Flight TC-3193 Silver,8278,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0394_3.JPG,Rectangle
27,Leishi Eyewear LS 215 C3 Silver Design,8279,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/dsc_0012_1_2.jpg,Rectangle
28,Leishi Eyewear LS 215 C4 Black Design,8280,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0426_3.JPG,Rectangle
29,Leishi Eyewear LS 216 C4 Black Golden,8281,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0434_3.JPG,Rectangle
30,Todaywear Rimless Eyewear Red Black ( Free Unbreakable Prescription Lens and 1yr warranty ) *,8283,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0467_4.JPG,Rectangle
31,Tag Style Eyewear  Orange ( Free Unbreakable Prescription Lens and 1yr warranty ) *,8284,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0475_1_2.JPG,Rectangle
32,Baoliya Eyewear TB 2039 100 % Titan DUium,8292,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0001_7.JPG,Oval
33,Heiko 609 Col 03 Black,8293,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0010_5.JPG,Rectangle
34,Alain Delon AD3024 C8 Black,8294,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0020_4.JPG,Rectangle
35,LK Retro Eyewear 1007 CE Black,8295,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0028_4.JPG,Oval
36,LK Retro Eyewear 1007 CE Tortoise,8296,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0036_4.JPG,Oval
37,LK Retro Eyewear 1007 CE Cherry Brown,8297,eyeframe,http://tak-apps-dev.s3.amazonaws.com/recruitment/machine-learning/dataset/DSC_0044_4.JPG,Oval
